host_name,host_id,host_type,host_ips,missing_networks,stream_info,status_info,error_code,error_description,is_archived
s0404-pps01,AE4011E1-3784-1005-8663-0050568525D9,host,['10.200.36.3'],['10.200.36.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0966-hyv01,B198A24D-48F8-1005-ADC9-0050568505BC,host,['10.199.112.2'],['10.199.112.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0649-hyv01,B2E204C6-4779-1005-BCA0-0050568525D9,host,['10.190.36.2'],['10.190.36.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0549-fsk01,B47FB6F7-379B-1005-8665-0050568505BC,host,['10.188.150.170'],['10.188.150.160/27'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s844-boh,B84DBD08-3799-1005-8665-0050568505BC,host,['10.193.50.169'],['10.193.50.160/27'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0759-pps01,C1C021F9-35B9-1005-8665-0050568505BC,host,['10.191.220.3'],['10.191.220.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0753-pps01,C3220140-58A9-1005-BD0A-0050568525D9,host,['10.199.64.3'],['10.199.64.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0307-ppc01,C3B4488F-90F5-4B34-8A69-CD1203933554,host,['10.184.206.60'],['10.184.206.0/26'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0323-hyv01,C41BE735-3CF4-1005-A5B6-0050568505BC,host,['10.199.152.2'],['10.199.152.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0798-pps01,C9C934A6-4FBB-1005-98AA-0050568505BC,host,['10.200.52.3'],['10.200.52.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s3001-fsk04,CDA31FB9-3F2A-1005-8535-0050568525D9,host,['10.195.166.173'],['10.195.166.160/27'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0970-hyv01,D217EA8D-4B55-1005-B423-0050568505BC,host,['10.200.8.2'],['10.200.8.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0534-pps01,DB8E95B2-4A4E-1005-BFFF-0050568505BC,host,['10.199.60.3'],['10.199.60.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0603-pps01,DCCB4099-37E8-1005-8663-0050568525D9,host,['10.200.28.3'],['10.200.28.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0769-pps01,DD2D6633-4441-1005-B78A-0050568505BC,host,['10.199.4.3'],['10.199.4.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0966-pps01,DFE51684-48F8-1005-ADC9-0050568505BC,host,['10.199.112.3'],['10.199.112.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0614-hyv01,E0154D65-4754-1005-BCA0-0050568525D9,host,['10.200.20.2'],['10.200.20.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s845-boh,E0FEE586-375E-1005-8665-0050568505BC,host,['10.193.54.169'],['10.193.54.160/27'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0342-pps01,E395AE21-4BCD-1005-B423-0050568505BC,host,['10.200.4.3'],['10.200.4.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0085-hyv01,E47FACFD-3B3A-1005-8663-0050568525D9,host,['10.200.44.2'],['10.200.44.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0784-hyv01,EBC13E81-354F-1005-8665-0050568505BC,host,['10.199.104.2'],['10.199.104.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0549-pps01,F41AAFEB-33AE-1005-8663-0050568525D9,host,['10.188.148.3'],['10.188.148.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0748-hyv01,FB025D72-46EF-1005-ADC9-0050568505BC,host,['10.199.96.2'],['10.199.96.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0367-hyv01,FB486AEF-441A-1005-A1DC-0050568525D9,host,['10.199.84.2'],['10.199.84.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0784-pps01,FCD86258-3550-1005-8663-0050568525D9,host,['10.199.104.3'],['10.199.104.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0429-pps01,FD126B58-A543-1005-9F1B-0050568525D9,host,['10.188.132.3'],['10.188.132.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s071-boh,FD76D594-34A2-1005-8665-0050568505BC,host,['10.181.30.169'],['10.181.30.160/27'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
